# Pathway	Exp1A1_prefix.assembled_Abundance	Exp1A2_prefix.assembled_Abundance	Exp1AS1_prefix.assembled_Abundance	Exp1AS2_prefix.assembled_Abundance	Exp1C1_prefix.assembled_Abundance	Exp1C2_prefix.assembled_Abundance	Exp1S1_prefix.assembled_Abundance	Exp1S2_prefix.assembled_Abundance	Exp2A1_prefix.assembled_Abundance	Exp2A2_prefix.assembled_Abundance	Exp2AS1_prefix.assembled_Abundance	Exp2AS2_prefix.assembled_Abundance	Exp2C1_New.assembled_Abundance	Exp2C2_prefix.assembled_Abundance	Exp2S1_prefix.assembled_Abundance	Exp2S2_prefix.assembled_Abundance	Exp3A1_prefix.assembled_Abundance	Exp3A2_prefix.assembled_Abundance	Exp3AS1_prefix.assembled_Abundance	Exp3AS2_prefix.assembled_Abundance	Exp3C1_prefix.assembled_Abundance	Exp3C2_prefix.assembled_Abundance	Exp3S1_prefix.assembled_Abundance	Exp3S2_prefix.assembled_Abundance
UNMAPPED	0.25791	0.27141	0.278551	0.299734	0.249277	0.273588	0.282192	0.293743	0.28504	0.289699	0.298804	0.315597	0.269257	0.278756	0.304837	0.323784	0.309726	0.311125	0.30064	0.306473	0.302583	0.295131	0.297833	0.311254
UNINTEGRATED	0.686443	0.675229	0.667712	0.648806	0.694552	0.67275	0.664118	0.652786	0.660123	0.66198	0.644357	0.630292	0.675978	0.668395	0.639828	0.622154	0.64227	0.64089	0.651045	0.64576	0.648754	0.656092	0.653488	0.63916
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_fermentans	0.000333357	0.000285235	0.000499095	0.000187855	0.000423072	0.00037739	0.000264484	0.000440821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000362375	0	0.000346243	0.000459922	0.000266257	0	0
UNINTEGRATED|g__Alloscardovia.s__Alloscardovia_omnicolens	0.000149586	3.84291e-05	0.000141331	0.000253173	7.65637e-05	6.41903e-05	0.000194467	0	0	0	0	0	0	0	0	0	0.00132142	0	0	0	0.000120256	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00175468	0.00135557	0.00131711	0.00155842	0.000930329	0.00139169	0.00117389	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000652215	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0.20186	0.208626	0.317075	0.351852	0.233607	0.219169	0.316608	0.312752	0.164665	0.206007	0.435719	0.52341	0.165543	0.145749	0.516654	0.491399	0.305788	0.305479	0.288026	0.298998	0.313211	0.307662	0.295162	0.294816
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_angulatum	0.0175687	0.0203624	0.011649	0.00868333	0.0209853	0.0185154	0.0132325	0.00725195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_animalis	0.00232778	0.00138819	0.00167918	0.00148496	0.00230303	0.00131658	0.00140845	0.0014561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
