species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	63.6363636364	70507	1145.16661117	60.9652008732
OTU-01769	Bifidobacterium sp.	82953	76	100.0	118785	210.573300544	11.2102845481
OTU-10135	Lactobacillus ruminis	284763	249	100.0	386327	196.759445574	10.4748767613
OTU-01788	Bifidobacterium sp.	13704	16	93.75	7189	76.9817571512	4.0982755195
OTU-20438	Escherichia coli	3069	5	100.0	1320	61.7758227436	3.28875764098
OTU-20408	Enterobacter cloacae	5328	10	90.0	1457	39.9680930931	2.12778018515
OTU-20491	Klebsiella pneumoniae	4329	14	85.7142857143	1046	34.9542619543	1.8608590057
OTU-01770	Bifidobacterium sp.	324933	298	99.3288590604	36977	16.7234322153	0.890304864244
OTU-20493	Klebsiella pneumoniae	11613	19	84.2105263158	1005	12.5893395333	0.670218294895
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	2197	8.45598619175	0.450171085791
OTU-04846	Prevotella HGM04846	9006	14	78.5714285714	282	4.53919609149	0.241653047532
OTU-12236	Coprococcus eutactus	295593	280	97.1428571429	8729	4.28316976383	0.228022981529
OTU-05079	Prevotellamassilia sp.	325293	228	100.0	7668	3.44504185457	0.183403590912
OTU-20409	Enterobacter hormaechei	79326	91	65.9340659341	1617	2.95363436956	0.157242545225
OTU-20495	Klebsiella oxytoca	46884	55	72.7272727273	857	2.64821687569	0.140983043173
OTU-12863	DTU089 HGM12863	76347	78	79.4871794872	1239	2.34851402151	0.125027771224
OTU-10138	Lactobacillus salivarius	335043	298	93.288590604	5275	2.24931426712	0.119746676846
OTU-14006	Acidaminococcus fermentans	37521	38	89.4736842105	542	2.12912768849	0.113348307528
OTU-20496	Klebsiella oxytoca	31206	43	62.7906976744	428	2.00916490419	0.106961852342
OTU-12149	Lachnospiraceae sp.	20577	18	72.2222222222	275	1.93060212859	0.102779408191
OTU-12115	Fusicatenibacter saccharivorans	52290	50	96.0	672	1.88385924651	0.100290958766
OTU-20414	Enterobacter aerogenes	230433	276	88.4057971014	2905	1.83997951682	0.0979549348992
OTU-05026	Prevotella copri	402	2	50.0	5	1.78109452736	0.0948200764639
OTU-08832	Elusimicrobiaceae HGM08832	232224	246	91.0569105691	2775	1.7309623467	0.0921511910506
OTU-12939	Ruminococcus sp.	28980	44	68.1818181818	336	1.65866114562	0.0883020941556
OTU-19512	Sutterella sp.	290154	274	97.4452554745	3272	1.6558655059	0.0881532627672
OTU-13255	Ruminococcaceae sp.	290982	285	92.6315789474	3182	1.59680667533	0.0850091495575
OTU-20407	Enterobacter cloacae	97008	124	77.4193548387	950	1.4254597559	0.0758871586959
OTU-12556	Lachnospiraceae sp.	225399	199	90.9547738693	2100	1.34761467442	0.071742922405
OTU-12087	Butyrivibrio crossotus	314817	292	88.698630137	2890	1.31598992431	0.0700593165221
OTU-13389	Ruminococcus sp.	28464	27	88.8888888889	239	1.22238617201	0.0650761363406
OTU-12697	Oscillospirales HGM12697	40803	60	66.6666666667	342	1.22013087273	0.06495607104
OTU-04934	Prevotella sp.	127434	126	76.1904761905	1012	1.16212313825	0.0618679150021
OTU-12838	DTU089 sp.	9495	12	50.0	70	1.08141126909	0.0575710596202
OTU-13128	ER4 sp.	16134	21	71.4285714286	106	0.952894508491	0.0507292166525
OTU-05233	Homeothermaceae sp.	305580	279	81.0035842294	1905	0.910334445972	0.048463447868
OTU-13311	Faecalibacterium sp.	37905	43	76.7441860465	224	0.871916633689	0.0464181999363
OTU-12039	Blautia sp.	63324	71	73.2394366197	370	0.850988566736	0.0453040530574
OTU-05060	Prevotella sp.	2640	5	40.0	16	0.831060606061	0.0442431488067
OTU-01737	Gardnerella vaginalis	550764	300	95.3333333333	3107	0.819861138346	0.0436469230765
OTU-11980	Bacteroides pectinophilus	412965	299	84.9498327759	2252	0.788262927851	0.0419647300827
OTU-12270	Dorea longicatena	38346	52	65.3846153846	189	0.702602618265	0.0374044347249
OTU-11569	PeH17 sp.	317958	290	76.2068965517	1419	0.649158064902	0.0345592086245
OTU-10309	Weissella confusa	281895	289	69.2041522491	1176	0.606991965093	0.0323144132212
OTU-13127	ER4 sp.	102381	109	66.9724770642	411	0.589806702415	0.0313995219023
OTU-12170	Lachnospiraceae sp.	173394	146	74.6575342466	646	0.546541402817	0.0290962084323
OTU-13078	Oscillospiraceae sp.	15303	16	75.0	56	0.540808991701	0.028791032232
OTU-13278	Faecalibacterium HGM13278	41202	37	64.8648648649	149	0.532789670404	0.0283641078622
OTU-04372	Senegalimassilia HGM04372	130707	131	60.3053435115	469	0.52427949536	0.0279110519261
OTU-12485	Roseburia inulinivorans	576	2	50.0	2	0.520833333333	0.0277275887006
OTU-20410	Enterobacter cloacae	28317	33	45.4545454545	98	0.500653317795	0.0266532658126
OTU-13169	Oscillibacter sp.	5862	7	42.8571428571	19	0.473387922211	0.0252017387576
OTU-11397	Clostridia HGM11397	435468	261	78.1609195402	1388	0.466495815996	0.0248348239037
OTU-04351	Eggerthellaceae sp.	15378	20	50.0	46	0.438093380153	0.0233227642701
OTU-12936	Ruminococcus bromii	9117	15	40.0	27	0.416803773171	0.0221893700954
OTU-12034	Blautia sp.	6411	6	50.0	18	0.41304008735	0.0219890028651
OTU-12265	Dorea formicigenerans	43668	48	56.25	125	0.411285151598	0.0218955754026
OTU-13080	Oscillospiraceae HGM13080	62628	56	46.4285714286	164	0.388644056971	0.0206902321203
OTU-12088	Lachnospiraceae HGM12088	99510	97	48.4536082474	259	0.373892071149	0.0199048810891
OTU-12850	DTU089 sp.	174831	180	49.4444444444	445	0.3719477667	0.0198013722109
OTU-13242	Angelakisella HGM13242	40680	51	43.137254902	103	0.368829891839	0.0196353859995
OTU-12239	Coprococcus catus	118251	98	63.2653061224	291	0.357383869904	0.0190260344696
OTU-20639	Raoultella ornithinolytica	163878	222	42.7927927928	392	0.350492439498	0.0186591555937
OTU-13390	Ruminococcus callidus	83739	82	54.8780487805	202	0.348368143876	0.0185460645308
OTU-10090	Lactobacillus acidophilus	191559	185	55.1351351351	463	0.344494385542	0.0183398373734
OTU-12641	Butyricicoccus HGM12641	100359	99	47.4747474747	231	0.341733177891	0.0181928390437
OTU-20403	Enterobacter cloacae	36405	38	50.0	83	0.330394176624	0.0175891849699
OTU-12876	DTU089 sp.	132603	155	43.8709677419	301	0.324751325385	0.0172887766661
OTU-13368	Ruminococcus HGM13368	326283	239	64.8535564854	722	0.322600319355	0.0171742636219
OTU-13105	Oscillospiraceae sp.	17988	18	44.4444444444	37	0.296086279742	0.0157627364824
OTU-04378	Slackia HGM04378	200769	158	57.5949367089	404	0.29424363323	0.0156646395648
OTU-13180	Ruminiclostridium HGM13180	126627	108	57.4074074074	253	0.289724940179	0.015424078037
OTU-12243	Coprococcus comes	16233	16	50.0	32	0.287069549683	0.015282713092
OTU-13420	Subdoligranulum sp.	153624	163	47.8527607362	300	0.285905848045	0.0152207611424
OTU-05704	Parabacteroides distasonis	353586	283	49.4699646643	696	0.285526010645	0.0152005397501
OTU-12282	Eubacterium sp.	40116	45	44.4444444444	78	0.276896998704	0.0147411572976
OTU-12290	Eubacterium sp.	195324	202	47.0297029703	369	0.274354406013	0.014605797366
OTU-11437	Clostridia HGM11437	32475	32	50.0	58	0.26324865281	0.0140145607125
OTU-10465	Streptococcus oralis	3249	2	50.0	6	0.2594644506	0.0138131012519
OTU-05702	Parabacteroides sp.	170775	132	50.0	290	0.246341677646	0.0131144845778
OTU-13071	Oscillospiraceae HGM13071	96066	97	42.2680412371	161	0.244498573897	0.0130163633182
OTU-12490	Ruminococcus sp.	36915	38	47.3684210526	63	0.242475958283	0.0129086853908
OTU-08668	Bilophila wadsworthia	53298	52	50.0	86	0.237307216031	0.012633517213
OTU-12480	Roseburia hominis	101496	99	43.4343434343	157	0.223930007094	0.0119213551381
OTU-13500	Mogibacterium sp.	47451	44	43.1818181818	71	0.219384206866	0.0116793505064
OTU-12374	KLE1615 sp.	194778	138	51.4492753623	288	0.213956401647	0.0113903906011
OTU-13029	Oscillospiraceae HGM13029	13827	15	40.0	20	0.20958993274	0.0111579330256
OTU-12152	Lachnospiraceae sp.	15096	16	43.75	21	0.204623741388	0.010893548044
OTU-13151	NK3B98 HGM13151	56415	50	40.0	76	0.199964548436	0.0106455067272
OTU-12009	Ruminococcus obeum	50979	50	40.0	71	0.199591988858	0.010625672784
OTU-05333	Odoribacter splanchnicus	155340	145	42.0689655172	214	0.197212565984	0.0104989995191
OTU-04058	Coriobacteriia HGM04058	235449	152	48.0263157895	295	0.184260710387	0.0098094819673
OTU-12316	Eubacterium HGM12316	214083	181	40.8839779006	272	0.180901799769	0.00963066374247
OTU-13097	Oscillospiraceae HGM13097	107049	65	44.6153846154	128	0.175685900849	0.00935298508654
OTU-13194	Ruminococcaceae HGM13194	241824	160	43.125	238	0.145324698955	0.00773664668286
OTU-11503	Clostridia HGM11503	333543	167	53.8922155689	331	0.142824163601	0.00760352575649
OTU-11862	Lachnospiraceae HGM11862	257031	165	41.2121212121	220	0.124700911563	0.00663869872592
