species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	63.6363636364	132166	2166.15606616	70.4588302046
OTU-10135	Lactobacillus ruminis	284763	249	100.0	969696	502.890140222	16.357570701
OTU-01788	Bifidobacterium sp.	13704	16	93.75	7694	83.0246643316	2.70055367585
OTU-01769	Bifidobacterium sp.	82953	76	100.0	40928	73.0177208781	2.37505657033
OTU-20438	Escherichia coli	3069	5	100.0	1356	65.0863473444	2.11707178805
OTU-20408	Enterobacter cloacae	5328	10	90.0	1350	37.4566441441	1.21835696468
OTU-20491	Klebsiella pneumoniae	4329	14	64.2857142857	638	21.7422037422	0.70721138965
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	4545	17.5553637743	0.571025520587
OTU-01770	Bifidobacterium sp.	324933	298	98.322147651	29118	13.2642298566	0.431447269134
OTU-20493	Klebsiella pneumoniae	11613	19	73.6842105263	688	8.73417721519	0.28409767837
OTU-04846	Prevotella HGM04846	9006	14	78.5714285714	445	7.26537863646	0.236321882674
OTU-12236	Coprococcus eutactus	295593	280	98.2142857143	11780	5.89929396163	0.191887075019
OTU-05079	Prevotellamassilia sp.	325293	228	100.0	9673	4.40050047188	0.143135631088
OTU-12863	DTU089 HGM12863	76347	78	73.0769230769	1688	3.2690740959	0.106333583368
OTU-20409	Enterobacter hormaechei	79326	91	63.7362637363	1676	3.12683105161	0.101706826016
OTU-12939	Ruminococcus sp.	28980	44	81.8181818182	505	2.57581090407	0.0837837245269
OTU-12149	Lachnospiraceae sp.	20577	18	66.6666666667	349	2.49861495845	0.081272762316
OTU-12087	Butyrivibrio crossotus	314817	292	92.4657534247	5273	2.47268730723	0.080429410351
OTU-08832	Elusimicrobiaceae HGM08832	232224	246	89.837398374	3597	2.28165478159	0.074215671416
OTU-19512	Sutterella sp.	290154	274	96.3503649635	4149	2.11269532731	0.0687199060431
OTU-12556	Lachnospiraceae sp.	225399	199	89.9497487437	2903	1.90333586218	0.0619100444474
OTU-12115	Fusicatenibacter saccharivorans	52290	50	98.0	666	1.87972843756	0.0611421627841
OTU-05026	Prevotella copri	402	2	50.0	5	1.86567164179	0.0606849356241
OTU-13255	Ruminococcaceae sp.	290982	285	91.9298245614	3613	1.83663937976	0.0597405995935
OTU-12697	Oscillospirales HGM12697	40803	60	75.0	462	1.67463176727	0.0544709576512
OTU-01737	Gardnerella vaginalis	550764	300	99.0	6227	1.67208459522	0.0543881054661
OTU-14006	Acidaminococcus fermentans	37521	38	81.5789473684	424	1.66493430346	0.0541555270287
OTU-13389	Ruminococcus sp.	28464	27	88.8888888889	294	1.52171163575	0.0494969053425
OTU-04934	Prevotella sp.	127434	126	80.9523809524	1257	1.45581242055	0.0473533932996
OTU-10138	Lactobacillus salivarius	335043	298	85.9060402685	2897	1.2768390923	0.0415319053914
OTU-13128	ER4 sp.	16134	21	71.4285714286	140	1.27550514442	0.0414885159013
OTU-11980	Bacteroides pectinophilus	412965	299	91.6387959866	3515	1.26174373131	0.0410408966902
OTU-05233	Homeothermaceae sp.	305580	279	91.3978494624	2539	1.22950454873	0.0399922487525
OTU-12039	Blautia sp.	63324	71	76.0563380282	502	1.17157791675	0.0381080619246
OTU-12270	Dorea longicatena	38346	52	78.8461538462	282	1.08759714181	0.0353764087193
OTU-13311	Faecalibacterium sp.	37905	43	83.7209302326	277	1.07561007783	0.0349865039846
OTU-20407	Enterobacter cloacae	97008	124	74.1935483871	695	1.05846940459	0.0344289671551
OTU-13278	Faecalibacterium HGM13278	41202	37	86.4864864865	256	0.915562351342	0.0297806115002
OTU-12838	DTU089 sp.	9495	12	58.3333333333	57	0.895629278568	0.0291322459405
OTU-20495	Klebsiella oxytoca	46884	55	61.8181818182	271	0.85707277536	0.0278781137221
OTU-04351	Eggerthellaceae sp.	15378	20	60.0	86	0.826310313435	0.0268774992625
OTU-11569	PeH17 sp.	317958	290	81.0344827586	1738	0.807650696004	0.0262705555447
OTU-04372	Senegalimassilia HGM04372	130707	131	70.2290076336	696	0.785719204021	0.0255571871527
OTU-12034	Blautia sp.	6411	6	83.3333333333	30	0.698175011699	0.0227096262227
OTU-12170	Lachnospiraceae sp.	173394	146	76.7123287671	707	0.603561830282	0.0196321313973
OTU-13127	ER4 sp.	102381	109	63.3027522936	402	0.578202986882	0.0188072811156
OTU-12936	Ruminococcus bromii	9117	15	40.0	35	0.575079521773	0.018705683774
OTU-05060	Prevotella sp.	2640	5	40.0	10	0.558712121212	0.018173299282
OTU-13080	Oscillospiraceae HGM13080	62628	56	48.2142857143	233	0.547422877946	0.0178060926495
OTU-12243	Coprococcus comes	16233	16	56.25	59	0.532125916343	0.0173085264598
OTU-12088	Lachnospiraceae HGM12088	99510	97	49.4845360825	346	0.514360365792	0.0167306641675
OTU-11397	Clostridia HGM11397	435468	261	77.3946360153	1484	0.503782137838	0.0163865848194
OTU-12282	Eubacterium sp.	40116	45	60.0	134	0.495612723103	0.0161208572411
OTU-12850	DTU089 sp.	174831	180	57.2222222222	583	0.492612866139	0.0160232805171
OTU-12239	Coprococcus catus	118251	98	65.306122449	371	0.464418905548	0.0151062120228
OTU-04378	Slackia HGM04378	200769	158	76.582278481	629	0.462113174843	0.0150312132308
OTU-12290	Eubacterium sp.	195324	202	62.3762376238	602	0.454240134341	0.0147751258544
OTU-12876	DTU089 sp.	132603	155	49.6774193548	404	0.449982277927	0.0146366300245
OTU-04376	Senegalimassilia sp.	8253	9	66.6666666667	25	0.444807948625	0.0144683239659
OTU-20919	Succinivibrio sp.	89358	103	45.6310679612	267	0.439266769623	0.0142880853411
OTU-12641	Butyricicoccus HGM12641	100359	99	60.6060606061	299	0.437300092667	0.014224114993
OTU-12265	Dorea formicigenerans	43668	48	56.25	128	0.430154804433	0.0139916993059
OTU-13078	Oscillospiraceae sp.	15303	16	56.25	44	0.429785009475	0.0139796709389
OTU-05704	Parabacteroides distasonis	353586	283	59.0106007067	1021	0.425630539671	0.0138445379782
OTU-20410	Enterobacter cloacae	28317	33	51.5151515152	81	0.424126849596	0.0137956272624
OTU-13105	Oscillospiraceae sp.	17988	18	50.0	50	0.410329108294	0.0133468263995
OTU-13412	Ruminococcus bicirculans	95007	99	49.4949494949	250	0.39111854916	0.0127219621317
OTU-05702	Parabacteroides sp.	170775	132	53.7878787879	432	0.373427023862	0.0121465076682
