species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	63.6363636364	78978	1292.36951937	62.961637922
OTU-10135	Lactobacillus ruminis	284763	249	100.0	455171	234.831972553	11.4405403461
OTU-01769	Bifidobacterium sp.	82953	76	100.0	97266	173.419153014	8.44863156952
OTU-20438	Escherichia coli	3069	5	100.0	1591	75.9416748126	3.69972531933
OTU-01788	Bifidobacterium sp.	13704	16	93.75	6703	72.3551517805	3.52499714665
OTU-20408	Enterobacter cloacae	5328	10	90.0	1737	48.1000375375	2.34333687238
OTU-20491	Klebsiella pneumoniae	4329	14	71.4285714286	1072	36.2196812197	1.7645498601
OTU-01770	Bifidobacterium sp.	324933	298	99.6644295302	38009	17.2959810176	0.842625331236
OTU-20493	Klebsiella pneumoniae	11613	19	78.9473684211	1202	15.2566950831	0.743275431146
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	2237	8.64893561379	0.421358709227
OTU-04846	Prevotella HGM04846	9006	14	78.5714285714	300	4.9086164779	0.239137900382
OTU-12236	Coprococcus eutactus	295593	280	96.7857142857	9556	4.7632927708	0.232058022305
OTU-05079	Prevotellamassilia sp.	325293	228	99.5614035088	9309	4.22940241567	0.206047960379
OTU-20409	Enterobacter hormaechei	79326	91	64.8351648352	1901	3.5167662557	0.171329763144
OTU-20495	Klebsiella oxytoca	46884	55	78.1818181818	871	2.74159628018	0.133565044466
OTU-12863	DTU089 HGM12863	76347	78	83.3333333333	1257	2.41425334329	0.117617556414
OTU-12149	Lachnospiraceae sp.	20577	18	66.6666666667	315	2.25577100646	0.109896616421
OTU-12115	Fusicatenibacter saccharivorans	52290	50	98.0	702	1.96672403901	0.0958148308058
OTU-08832	Elusimicrobiaceae HGM08832	232224	246	91.0569105691	3114	1.96502945432	0.0957322740553
OTU-14006	Acidaminococcus fermentans	37521	38	89.4736842105	497	1.95605127795	0.0952948754002
OTU-12939	Ruminococcus sp.	28980	44	75.0	377	1.9071773637	0.0929138368142
OTU-20414	Enterobacter aerogenes	230433	276	86.9565217391	2874	1.83941102186	0.089612397238
OTU-19512	Sutterella sp.	290154	274	95.6204379562	3593	1.82672994341	0.0889946006575
OTU-10138	Lactobacillus salivarius	335043	298	91.610738255	4107	1.78577973574	0.086999589084
OTU-13255	Ruminococcaceae sp.	290982	285	92.6315789474	3384	1.7149961166	0.08355115384
OTU-20496	Klebsiella oxytoca	31206	43	65.1162790698	324	1.53710824841	0.0748848154751
OTU-12087	Butyrivibrio crossotus	314817	292	85.2739726027	3133	1.45683682901	0.0709741537271
OTU-01737	Gardnerella vaginalis	550764	300	99.3333333333	5439	1.45439062829	0.0708549797587
OTU-12697	Oscillospirales HGM12697	40803	60	75.0	402	1.44379089773	0.0703385822518
OTU-20407	Enterobacter cloacae	97008	124	81.4516129032	934	1.42015091539	0.0691868899639
OTU-12556	Lachnospiraceae sp.	225399	199	89.4472361809	2044	1.33589323821	0.0650820257722
OTU-04934	Prevotella sp.	127434	126	76.1904761905	1129	1.31084326004	0.0638616413295
OTU-13389	Ruminococcus sp.	28464	27	81.4814814815	239	1.23341765037	0.0600896216949
OTU-05060	Prevotella sp.	2640	5	40.0	22	1.18636363636	0.0577972449807
OTU-05233	Homeothermaceae sp.	305580	279	85.6630824373	2340	1.12781922901	0.0549450794637
OTU-12039	Blautia sp.	63324	71	73.2394366197	482	1.11758574948	0.054446524969
OTU-05026	Prevotella copri	402	2	50.0	3	1.02487562189	0.049929874431
OTU-13128	ER4 sp.	16134	21	76.1904761905	98	0.895810090492	0.0436420619019
OTU-11980	Bacteroides pectinophilus	412965	299	83.9464882943	2377	0.844960226654	0.041164759035
OTU-13311	Faecalibacterium sp.	37905	43	74.4186046512	215	0.840548740272	0.0409498403109
OTU-12270	Dorea longicatena	38346	52	61.5384615385	220	0.833489803369	0.0406059431339
OTU-12838	DTU089 sp.	9495	12	58.3333333333	47	0.741864139021	0.0361421254589
OTU-11569	PeH17 sp.	317958	290	77.5862068966	1503	0.694403034363	0.0338299161086
OTU-20410	Enterobacter cloacae	28317	33	63.6363636364	128	0.669809654978	0.0326317762384
OTU-04351	Eggerthellaceae sp.	15378	20	60.0	66	0.625243854858	0.0304606202889
OTU-13278	Faecalibacterium HGM13278	41202	37	75.6756756757	168	0.602640648512	0.0293594376376
OTU-04372	Senegalimassilia HGM04372	130707	131	60.3053435115	518	0.585140811127	0.0285068808351
OTU-12170	Lachnospiraceae sp.	173394	146	77.397260274	604	0.514960148563	0.0250878204199
OTU-11397	Clostridia HGM11397	435468	261	82.3754789272	1426	0.482320170483	0.0234976664811
OTU-12850	DTU089 sp.	174831	180	64.4444444444	570	0.481402039684	0.0234529369992
OTU-13105	Oscillospiraceae sp.	17988	18	44.4444444444	58	0.47220369135	0.0230048120097
OTU-13127	ER4 sp.	102381	109	55.9633027523	325	0.46406071439	0.0226081025863
OTU-20639	Raoultella ornithinolytica	163878	222	51.8018018018	514	0.463070088725	0.0225598413007
OTU-20403	Enterobacter cloacae	36405	38	55.2631578947	113	0.457272352699	0.0222773872881
OTU-13080	Oscillospiraceae HGM13080	62628	56	50.0	184	0.435843392732	0.0212334115534
OTU-12243	Coprococcus comes	16233	16	50.0	46	0.417482905193	0.0203389256102
OTU-12239	Coprococcus catus	118251	98	62.2448979592	334	0.414685710903	0.0202026519428
OTU-04376	Senegalimassilia sp.	8253	9	66.6666666667	23	0.404943656852	0.0197280387067
OTU-12265	Dorea formicigenerans	43668	48	50.0	112	0.379774663369	0.018501856078
