species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01779	Bifidobacterium sp.	5097	6	100.0	43469	1255.41808907	48.6803354268
OTU-01767	Bifidobacterium sp.	9009	11	100.0	51255	838.442890443	32.5116242137
OTU-01746	Bifidobacterium HGM01746	7839	10	60.0	9258	172.838754943	6.7020290998
OTU-10308	Weissella cibaria	376113	300	99.6666666667	389763	152.09181815	5.89754185293
OTU-01788	Bifidobacterium sp.	13704	16	93.75	6763	72.7640834793	2.82151422034
OTU-20438	Escherichia coli	3069	5	100.0	361	17.2414467253	0.6685576838
OTU-05648	RC9 HGM05648	72111	51	98.0392156863	4675	9.54891764086	0.370270683341
OTU-11998	Blautia HGM11998	5112	7	100.0	148	4.25273865415	0.164905019267
OTU-13067	Oscillospiraceae sp.	11973	14	85.7142857143	236	2.88783095298	0.111979093396
OTU-13279	Faecalibacterium HGM13279	4560	7	71.4285714286	81	2.61162280702	0.101268792732
OTU-13300	Faecalibacterium sp.	33222	41	97.5609756098	492	2.1927638312	0.0850270358086
OTU-12374	KLE1615 sp.	194778	138	99.2753623188	2716	2.04077462547	0.079133472875
OTU-13278	Faecalibacterium HGM13278	41202	37	94.5945945946	542	1.94565797777	0.075445211287
OTU-12152	Lachnospiraceae sp.	15096	16	100.0	170	1.62970323264	0.0631936887813
OTU-11969	Anaerostipes hadrus	13074	19	63.1578947368	135	1.52745907909	0.0592290496432
OTU-12115	Fusicatenibacter saccharivorans	52290	50	98.0	528	1.48148785619	0.0574464605836
OTU-13263	Ruminococcaceae sp.	287847	291	89.0034364261	2816	1.43720101304	0.0557291853602
OTU-12979	Oscillospiraceae HGM12979	375783	291	95.5326460481	3467	1.36182051876	0.0528062166869
OTU-12237	Coprococcus sp.	60378	51	78.431372549	545	1.32982212064	0.0515654405924
OTU-11888	Lachnospiraceae HGM11888	568050	274	99.2700729927	4778	1.23316961535	0.0478176242926
OTU-16782	RF32 sp.	249285	261	84.2911877395	1911	1.12821068255	0.0437477163479
OTU-12037	Blautia sp.	58497	47	80.8510638298	405	1.01275279074	0.0392706987312
OTU-12270	Dorea longicatena	38346	52	76.9230769231	256	0.978459291712	0.0379409273585
OTU-04065	Atopobiaceae HGM04065	60114	56	76.7857142857	367	0.902252387131	0.034985913639
OTU-13310	Faecalibacterium sp.	354	1	100.0	2	0.841807909605	0.0326421068496
