#SampleID	Exp1A1_prefix.assembled_metaphlan_bugs_list	Exp1A2_prefix.assembled_metaphlan_bugs_list	Exp1AS1_prefix.assembled_metaphlan_bugs_list	Exp1AS2_prefix.assembled_metaphlan_bugs_list	Exp1C1_prefix.assembled_metaphlan_bugs_list	Exp1C2_prefix.assembled_metaphlan_bugs_list	Exp1S1_prefix.assembled_metaphlan_bugs_list	Exp1S2_prefix.assembled_metaphlan_bugs_list	Exp2A1_prefix.assembled_metaphlan_bugs_list	Exp2A2_prefix.assembled_metaphlan_bugs_list	Exp2AS1_prefix.assembled_metaphlan_bugs_list	Exp2AS2_prefix.assembled_metaphlan_bugs_list	Exp2C1New.assembled_metaphlan_bugs_list	Exp2C2_prefix.assembled_metaphlan_bugs_list	Exp2S1_prefix.assembled_metaphlan_bugs_list	Exp2S2_prefix.assembled_metaphlan_bugs_list	Exp3A1_prefix.assembled_metaphlan_bugs_list	Exp3A2_prefix.assembled_metaphlan_bugs_list	Exp3AS1_prefix.assembled_metaphlan_bugs_list	Exp3AS2_prefix.assembled_metaphlan_bugs_list	Exp3C1_prefix.assembled_metaphlan_bugs_list	Exp3C2_prefix.assembled_metaphlan_bugs_list	Exp3S1_prefix.assembled_metaphlan_bugs_list	Exp3S2_prefix.assembled_metaphlan_bugs_list
k__Archaea	0	0	0	0	0	0	0	0	0	0.00736	0.01541	0.00969	0.02621	0.00864	0.00193	0.01034	0.0817	0.07959	0.03871	0.05221	0.09549	0.0373	0.0193	0.03539
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0.00736	0.01541	0.00969	0.02621	0.00864	0.00193	0.01034	0.0817	0.07959	0.03871	0.05221	0.09549	0.0373	0.0193	0.03539
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0.00736	0.01541	0.00969	0.02621	0.00864	0.00193	0.01034	0.0817	0.07959	0.03871	0.05221	0.09549	0.0373	0.0193	0.03539
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0.00736	0.01541	0.00969	0.02621	0.00864	0.00193	0.01034	0.0817	0.07959	0.03871	0.05221	0.09549	0.0373	0.0193	0.03539
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0.00736	0.01541	0.00969	0.02621	0.00864	0.00193	0.01034	0.0817	0.07959	0.03871	0.05221	0.09549	0.0373	0.0193	0.03539
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0.00736	0.01541	0.00969	0.02621	0.00864	0.00193	0.01034	0.0817	0.07959	0.03871	0.05221	0.09549	0.0373	0.0193	0.03539
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0.00736	0.00625	0	0.01417	0.00864	0.00193	0	0.0638	0.07959	0.03871	0.04986	0.09038	0.00712	0.0156	0.0201
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0	0	0	0	0	0	0	0	0	0.00736	0.00625	0	0.01417	0.00864	0.00193	0	0.0638	0.07959	0.03871	0.04986	0.09038	0.00712	0.0156	0.0201
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	0	0	0.00916	0.00969	0.01204	0	0	0.01034	0.0179	0	0	0.00235	0.00512	0.03018	0.00369	0.0153
k__Bacteria	99.79214	100.0	91.69752	92.89451	99.99877	100.0	100.0	100.0	100.0	99.99264	71.24321	79.61142	99.97379	99.99136	99.99807	99.98966	99.9183	99.92041	77.20504	79.06977	99.90451	99.9627	99.9807	99.96461
