;t0;t4;t8;t24
Exp1C1;0.0352;0;0.7882;12.3767
Exp1C2;0.0419;0.0704;0.8217;12.722
Exp1S1;0.082;0.0332;0.7723;20.0444
Exp1S2;0;2.2152;0.6204;13.3604
Exp1A1;0.106;0.0352;0.7697;17.9517
Exp1A2;0.0402;2.4042;0.6669;17.5962
Exp1AS1;0.0367;0.2361;1.0674;17.5529
Exp1AS2;0.023;0.2167;0.6179;18.3224
Exp2C1;0;0;0.0152;7.4924
Exp2C2;0;0;0.019;6.8844
Exp2S1;0;0;0.2638;15.5901
Exp2S2;0;0;0.2663;15.647
Exp2A1;0;0;0.0216;7.2954
Exp2A2;0;0;0.0177;9.5607
Exp2AS1;0;0;0.2349;18.28
Exp2AS2;0.1847;0;0.2205;17.3138
Exp3C1;0;0.0233;0.2105;10.3929
Exp3C2;0;0;0.245;11.765
Exp3S1;0;0;0.4239;16.3649
Exp3S2;0;0;0.4479;16.6767
Exp3A1;0;0.0232;0.2387;11.6722
Exp3A2;0;0;0.2344;11.5914
Exp3AS1;0;0.0386;0.406;16.6416
Exp3AS2;0;0.0351;0.5357;16.0147
