species_id,Domain,Phylum,Class,Order,Family,Genus,Species
OTU-07175,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__NS11-12g,,,
OTU-16345,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas subvibrioides
OTU-06490,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
OTU-09272,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Paucisalibacillus,s__
OTU-00975,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,,,
OTU-13386,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C,s__
OTU-20562,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Pantoea,s__
OTU-00480,d__Archaea,p__Halobacteraeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,
OTU-23774,d__Bacteria,p__YA12-FULL-61-11,c__YA12-FULL-61-11,,,,
OTU-14413,d__Bacteria,p__GWC2-55-46,c__GWC2-55-46,o__GWC2-55-46,f__UBA9637,g__UBA10170,s__UBA10170 sp1
OTU-11893,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,,
OTU-14800,d__Bacteria,p__O2-12-FULL-43-9,c__O2-12-FULL-43-9,o__2-02-FULL-40-11,f__2-02-FULL-40-11,g__2-02-FULL-40-11,s__
OTU-00063,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__Bathyarchaeales,f__Bathyarchaeaceae,g__,
OTU-23553,d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__CAG-312,g__CAG-312,
OTU-16459,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,g__Oceanicaulis,s__
OTU-19203,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Massilia_A,
OTU-10463,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,
OTU-07071,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__
OTU-14711,d__Bacteria,p__Nitrospinae,c__Nitrospinia,o__Nitrospinales,f__Nitrospinaceae,g__SCGCAAA288-L16,
OTU-11737,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_X,s__Clostridium_X cadaveris
OTU-01509,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__MedAcidi-G1,g__MedAcidi-G1,s__MedAcidi-G1 sp1
OTU-18175,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,,
OTU-01422,d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__RBG-13-68-16,
OTU-00976,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,,,
OTU-06719,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__MAG-121220-bin8,
OTU-20866,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella,
OTU-21780,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter gandensis
OTU-22591,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiohalospirales,f__Thiohalospiraceae,g__Thiohalospira,s__Thiohalospira halophila
OTU-06569,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium degerlachei
OTU-11183,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus_A,
OTU-08190,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
OTU-21407,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae,,
OTU-12128,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-590,
OTU-17240,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Neorhizobium,
