# Pathway	Exp1A1_prefix.assembled_Coverage	Exp1A2_prefix.assembled_Coverage	Exp1AS1_prefix.assembled_Coverage	Exp1AS2_prefix.assembled_Coverage	Exp1C1_prefix.assembled_Coverage	Exp1C2_prefix.assembled_Coverage	Exp1S1_prefix.assembled_Coverage	Exp1S2_prefix.assembled_Coverage	Exp2A1_prefix.assembled_Coverage	Exp2A2_prefix.assembled_Coverage	Exp2AS1_prefix.assembled_Coverage	Exp2AS2_prefix.assembled_Coverage	Exp2C1New.assembled_Coverage	Exp2C2_prefix.assembled_Coverage	Exp2S1_prefix.assembled_Coverage	Exp2S2_prefix.assembled_Coverage	Exp3A1_prefix.assembled_Coverage	Exp3A2_prefix.assembled_Coverage	Exp3AS1_prefix.assembled_Coverage	Exp3AS2_prefix.assembled_Coverage	Exp3C1_prefix.assembled_Coverage	Exp3C2_prefix.assembled_Coverage	Exp3S1_prefix.assembled_Coverage	Exp3S2_prefix.assembled_Coverage
UNMAPPED	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_fermentans	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	0	0
UNINTEGRATED|g__Alloscardovia.s__Alloscardovia_omnicolens	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_angulatum	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_animalis	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	0	1.0000000000	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridiales_noname.s__Bacteroides_pectinophilus	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Enterobacter.s__Enterobacter_aerogenes	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	1.0000000000	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_salivarius	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	1.0000000000	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Weissella.s__Weissella_cibaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Weissella.s__Weissella_confusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|unclassified	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0001755280	0.0000657122	0.0480377543	0.0147980656	0.0000001624	0.0000030157	0.0237277200	0.0083172583	0.5773094823	0.3321878135	0.9479907743	0.9986183027	0.0149238242	0.0470555233	0.6739038736	0.9820521047	0.1246945675	0.7285486984	0.8253157224	0.8725818394	0.8551125135	0.7650716661	0.3727966366	0.9543930258
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0.7383882533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0	0.0000000008	0	0	0.0000000000	0.0000000000	0.0000000226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0.0000000000	0.0000000038	0	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0.0000000000	0.0000000000	0.0000002703	0.0335282603	0.0000000000	0.0000000000	0.0000508789	0.0115719063	0.0000000000	0.0000000045	0	0	0.0000000224	0.0000006949	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	0.0082511198	0.0065568380	0.0000698815	0	0.0000000001	0	0	0	0	0	0	0	0	0	0	0	0.0984639577	0	0	0	0.0000691819	0.2839462654	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0.0000000005	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0001367859	0.0000000000	0.0000000000	0.0000000670	0.0000106960	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0.3788294000	0.0553151020	0.0000000000	0.0000000000	0.0307818637	0.0552921335	0.0000000000	0.0000000000
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0000000000	0.0000000000	0	0	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0	0	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|g__Klebsiella.s__Klebsiella_pneumoniae	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000313	0.0000000000	0.0010856947	0.0749506557	0.0000000029	0.0000003005	0.0000000322	0.0000055113	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000089672	0.0000000000	0.0046745111	0.0072303371	0.0006783254	0.0885858378	0.0043253557	0.0031128869	0.7283769090	0.0057146475
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000000000	0	0	0.0000000000	0.0000000000	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0.0000107236	0	0	0	0.0001196658	0.0000050972	0	0	0	0	0	0	0	0	0	0	0	0.0159152179	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.7984778419	0.0512363716	0.5434269355	0.6658150394	0.3671622537	0.7697471940	0.8910405948	0.7332923408	0.0000000000	0.0000000000	0.0000000000	0.0000000085	0.0000000000	0.0000000000	0.0038187553	0.0000416155	0.9524913013	0.3404199036	0.9174755282	0.9551045234	0.9971598186	0.7809153462	0.9353707496	0.9932388415
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0.2084862456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0.0000004889	0.0000708427	0.0439606046	0.1809478062	0.0000023924	0.0000955160	0.3142238142	0.2658528425	0	0	0.3955667016	0.6833558686	0	0	0.6913390587	0.3124909198	0.0039456072	0.1013214581	0.3985353119	0.6782797094	0.0107310424	0.0031147733	0.6232051455	0.5648311093
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_oxytoca	0.1387807218	0	0	0	0.3568489329	0.3595168325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_pneumoniae	0.0000000000	0.0000000000	0.0083986815	0.0000007540	0.0000000005	0.0000000015	0.0000018935	0.0159942789	0.0000390046	0.0215479001	0	0	0.0239213863	0.0005623424	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.0046282970	0	0	0	0.0013162920	0.0670032599	0	0.5757026344	0	0	0	0	0	0	0	0	0	0.1208754823	0	0.0028289425	0	0.0240058972	0.3911120517	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0	0	0	0	0	0	0	0	0.0000000000	0	0	0	0	0	0	0	0.0000000000	0	0	0	0.0000000000	0	0	0.0000000000
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	0	0	0	0	0	0	0	0	0.0153899370	0	0	0	0	0	0	0	0.0001390363	0	0	0	0	0	0	0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.9181651063	0.0308172433	0.6507925934	0.9246644514	0.5248801752	0.9941089359	0.7868767463	0.1323464873	1.0000000000	1.0000000000	0.9999744115	0.9894287845	1.0000000000	0.8920849076	0.9799282610	0.9984952729	0.9631862324	0.9996290602	0.9207435409	0.9683323272	0.9992125710	0.9970419563	0.7714143694	0.9948991963
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_longum	0.2405416772	0.2721294965	0.1317439797	0.1766151314	0.1768103960	0.6032300056	0.1471604414	0.2376966315	0	0	0.0316875822	0.2181137929	0	0	0.0707496377	0.1594552948	0.1909274328	0.2673432349	0.2705337486	0.0494317823	0.1637238790	0.6269588038	0.1646726987	0.2524009119
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterobacter.s__Enterobacter_aerogenes	0.5710727671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
