species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	100.0	115939	1898.50826951	84.1272245984
OTU-10232	Lactobacillus reuteri	218463	223	97.7578475336	344462	230.963755876	10.2345299606
OTU-01794	Bifidobacterium sp.	9408	12	100.0	2071	32.5266794218	1.44133123311
OTU-04066	Atopobiaceae HGM04066	217557	211	100.0	37070	25.1548651618	1.11466935657
OTU-01788	Bifidobacterium sp.	13704	16	87.5	1781	19.2050496205	0.851019481348
OTU-20438	Escherichia coli	3069	5	100.0	250	11.9657869013	0.530231265414
OTU-11960	Agathobacter sp.	2001	3	100.0	66	4.82008995502	0.213589161946
OTU-08908	Campylobacteraceae HGM08908	569802	299	98.6622073579	8258	2.12827087304	0.0943085287635
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	511	1.97240964486	0.0874019628242
OTU-05077	Prevotellamassilia HGM05077	319674	296	92.5675675676	4144	1.90949217015	0.0846139462477
OTU-04378	Slackia HGM04378	200769	158	98.1012658228	2110	1.55194776086	0.0687703392921
OTU-13313	Faecalibacterium sp.	4530	9	66.6666666667	47	1.51037527594	0.0669281678187
OTU-04940	Prevotella HGM04940	22077	27	70.3703703704	214	1.41993930335	0.0629207439375
OTU-04062	Atopobiaceae HGM04062	52044	49	89.7959183673	485	1.37710398893	0.0610226136135
OTU-13105	Oscillospiraceae sp.	17988	18	66.6666666667	149	1.23215476985	0.0545995836456
OTU-05060	Prevotella sp.	2640	5	40.0	21	1.17803030303	0.0522012052718
OTU-20491	Klebsiella pneumoniae	4329	14	42.8571428571	33	1.10649110649	0.0490311405681
OTU-04846	Prevotella HGM04846	9006	14	50.0	63	1.03964023984	0.0460688264377
OTU-12939	Ruminococcus sp.	28980	44	65.9090909091	199	0.993512767426	0.0440248130962
OTU-13128	ER4 sp.	16134	21	61.9047619048	104	0.949237634808	0.0420628811491
OTU-12877	DTU089 sp.	110340	127	73.2283464567	639	0.841045858256	0.0372686571618
OTU-12237	Coprococcus sp.	60378	51	70.5882352941	329	0.798850574713	0.0353988880632
OTU-13386	Ruminococcus sp.	230325	273	67.032967033	1222	0.782047107348	0.0346542881604
OTU-12485	Roseburia inulinivorans	576	2	50.0	3	0.776041666667	0.0343881734086
OTU-12143	Lachnospiraceae HGM12143	51237	49	81.6326530612	244	0.699435954486	0.0309935998596
OTU-04262	Collinsella HGM04262	687	2	50.0	3	0.655021834061	0.0290255090462
OTU-04954	Prevotella sp.	373710	292	75.6849315068	1559	0.617912284927	0.0273811004203
OTU-12115	Fusicatenibacter saccharivorans	52290	50	70.0	203	0.570778351501	0.0252924884995
OTU-13103	Oscillospiraceae sp.	32850	39	56.4102564103	124	0.553607305936	0.0245316003695
OTU-05664	RC9 sp.	28386	33	60.6060606061	105	0.540090185303	0.0239326259738
OTU-12265	Dorea formicigenerans	43668	48	62.5	153	0.514266739947	0.0227883303064
OTU-13278	Faecalibacterium HGM13278	41202	37	70.2702702703	133	0.480195136158	0.0212785399566
OTU-12270	Dorea longicatena	38346	52	57.6923076923	116	0.442445105096	0.019605750118
OTU-04986	Prevotella sp.	68169	51	70.5882352941	204	0.441916413619	0.0195823225947
OTU-08837	Elusimicrobiaceae HGM08837	78753	81	49.3827160494	205	0.376772948332	0.0166956673068
OTU-12490	Ruminococcus sp.	36915	38	52.6315789474	95	0.37112284979	0.0164452985743
OTU-04911	Prevotella HGM04911	173910	156	55.1282051282	428	0.363584612731	0.0161112621246
OTU-11464	Clostridia sp.	176739	193	48.1865284974	414	0.344762616061	0.0152772165918
OTU-04934	Prevotella sp.	127434	126	50.7936507937	287	0.332658474191	0.0147408545026
OTU-13412	Ruminococcus bicirculans	95007	99	46.4646464646	212	0.326175965981	0.0144535998023
OTU-13180	Ruminiclostridium HGM13180	126627	108	55.5555555556	279	0.325830983913	0.0144383128612
OTU-04924	Prevotella sp.	208707	162	58.6419753086	458	0.324502771828	0.0143794567592
OTU-13500	Mogibacterium sp.	47451	44	47.7272727273	99	0.305810204211	0.0135511465224
OTU-12106	Lachnospiraceae sp.	66639	59	45.7627118644	136	0.300604750972	0.0133204810358
OTU-04227	Collinsella HGM04227	2163	2	50.0	4	0.271382339344	0.012025569433
OTU-19500	Sutterella HGM19500	31284	37	43.2432432432	58	0.267293185015	0.011844369693
OTU-12433	Oribacterium HGM12433	6486	7	42.8571428571	12	0.265032377428	0.0117441881607
OTU-13300	Faecalibacterium sp.	33222	41	43.9024390244	60	0.264824513876	0.0117349772534
OTU-05666	RC9 sp.	333243	249	54.2168674699	597	0.264335634957	0.0117133139152
OTU-12405	Lachnospira sp.	119586	118	43.2203389831	203	0.249025805696	0.011034900518
OTU-11569	PeH17 sp.	317958	290	43.1034482759	521	0.241220538562	0.0106890313575
OTU-04372	Senegalimassilia HGM04372	130707	131	41.2213740458	210	0.239153220562	0.0105974237894
OTU-23488	Victivallales HGM23488	250311	233	41.2017167382	392	0.23187554682	0.0102749334936
OTU-12239	Coprococcus catus	118251	98	54.0816326531	176	0.220809972009	0.00978459267579
OTU-12243	Coprococcus comes	16233	16	43.75	24	0.218690322183	0.00969066616527
OTU-14087	Mitsuokella jalaludinii	22509	24	41.6666666667	30	0.197920831667	0.00877032274539
OTU-12170	Lachnospiraceae sp.	173394	146	42.4657534247	212	0.18077903503	0.00801073070206
