species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	100.0	110899	1817.10533911	90.1155105508
OTU-10232	Lactobacillus reuteri	218463	223	96.8609865471	122916	82.5439502341	4.09359328716
OTU-04066	Atopobiaceae HGM04066	217557	211	100.0	34899	23.684813635	1.17459842701
OTU-20438	Escherichia coli	3069	5	80.0	434	20.8273053112	1.03288632262
OTU-01788	Bifidobacterium sp.	13704	16	93.75	1849	19.9096614127	0.987377706999
OTU-01794	Bifidobacterium sp.	9408	12	100.0	1238	19.4143282313	0.96281270156
OTU-11960	Agathobacter sp.	2001	3	66.6666666667	37	2.73363318341	0.135568777814
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	473	1.82914901407	0.090712791234
OTU-05077	Prevotellamassilia HGM05077	319674	296	89.1891891892	3355	1.54633157529	0.0766870562699
OTU-04062	Atopobiaceae HGM04062	52044	49	85.7142857143	475	1.35028053186	0.0669643178612
OTU-04940	Prevotella HGM04940	22077	27	74.0740740741	201	1.34098835893	0.0665034921238
OTU-13128	ER4 sp.	16134	21	80.9523809524	146	1.34083302343	0.0664957885871
OTU-04378	Slackia HGM04378	200769	158	96.835443038	1636	1.20363203483	0.0596915946475
OTU-13313	Faecalibacterium sp.	4530	9	66.6666666667	31	1.00331125828	0.0497571078216
OTU-04846	Prevotella HGM04846	9006	14	71.4285714286	59	0.96957583833	0.0480840707517
OTU-12237	Coprococcus sp.	60378	51	74.5098039216	377	0.916774321773	0.0454654907938
OTU-12939	Ruminococcus sp.	28980	44	75.0	171	0.869185645273	0.0431054306547
OTU-13105	Oscillospiraceae sp.	17988	18	72.2222222222	100	0.824216144096	0.0408752629971
OTU-12877	DTU089 sp.	110340	127	67.7165354331	579	0.767400761283	0.0380576237997
OTU-09870	Holdemanella sp.	393	1	100.0	2	0.763358778626	0.0378571701865
OTU-13386	Ruminococcus sp.	230325	273	65.9340659341	1168	0.747244111581	0.0370579972289
OTU-08908	Campylobacteraceae HGM08908	569802	299	94.983277592	2862	0.737803658113	0.0365898178307
OTU-05060	Prevotella sp.	2640	5	60.0	12	0.665151515152	0.0329867878827
OTU-04954	Prevotella sp.	373710	292	80.4794520548	1647	0.651192100827	0.0322945001425
OTU-12143	Lachnospiraceae HGM12143	51237	49	67.3469387755	214	0.618986279446	0.0306973202906
OTU-12115	Fusicatenibacter saccharivorans	52290	50	74.0	219	0.616408491107	0.0305694803095
OTU-04832	Prevotella HGM04832	2901	4	50.0	12	0.616339193382	0.0305660436348
OTU-12270	Dorea longicatena	38346	52	59.6153846154	158	0.595890053721	0.0295519116408
OTU-13103	Oscillospiraceae sp.	32850	39	58.9743589744	132	0.592754946728	0.0293964326153
OTU-05664	RC9 sp.	28386	33	66.6666666667	115	0.591946734306	0.0293563510232
OTU-12433	Oribacterium HGM12433	6486	7	57.1428571429	23	0.519272278754	0.0257522145292
OTU-12265	Dorea formicigenerans	43668	48	72.9166666667	148	0.502473206925	0.0249190999584
OTU-13434	Gemmiger formicilis	17439	18	61.1111111111	59	0.500430070532	0.024817774914
OTU-13278	Faecalibacterium HGM13278	41202	37	67.5675675676	129	0.457162273676	0.0226719996966
OTU-04986	Prevotella sp.	68169	51	66.6666666667	207	0.448077571917	0.0222214630548
OTU-13500	Mogibacterium sp.	47451	44	72.7272727273	143	0.438894859961	0.0217660658038
OTU-04195	Collinsella HGM04195	1452	1	100.0	4	0.401515151515	0.0199122979246
OTU-04924	Prevotella sp.	208707	162	55.5555555556	510	0.361655334991	0.017935534311
OTU-08837	Elusimicrobiaceae HGM08837	78753	81	43.2098765432	193	0.36055769304	0.0178810990712
OTU-12490	Ruminococcus sp.	36915	38	42.1052631579	89	0.353731545442	0.0175425706641
OTU-04934	Prevotella sp.	127434	126	51.5873015873	302	0.351091545427	0.017411645426
OTU-13169	Oscillibacter sp.	5862	7	42.8571428571	14	0.345786421017	0.0171485489591
OTU-11464	Clostridia sp.	176739	193	48.1865284974	407	0.338963103786	0.0168101609181
OTU-10229	Lactobacillus oris	146982	187	42.7807486631	331	0.330557483229	0.0163933018777
OTU-13180	Ruminiclostridium HGM13180	126627	108	53.7037037037	283	0.329795383291	0.0163555071371
OTU-12838	DTU089 sp.	9495	12	41.6666666667	19	0.299526066351	0.0148543641426
OTU-12243	Coprococcus comes	16233	16	43.75	30	0.275180188505	0.0136469816289
OTU-04911	Prevotella HGM04911	173910	156	52.5641025641	317	0.270662986602	0.0134229605186
OTU-11569	PeH17 sp.	317958	290	46.2068965517	576	0.267535334856	0.0132678512203
OTU-05666	RC9 sp.	333243	249	55.0200803213	593	0.263558424333	0.0130706247225
OTU-23488	Victivallales HGM23488	250311	233	48.4978540773	437	0.259501180531	0.012869414265
OTU-14087	Mitsuokella jalaludinii	22509	24	45.8333333333	35	0.231818383758	0.0114965442882
OTU-12239	Coprococcus catus	118251	98	51.0204081633	171	0.21411235423	0.0106184510614
OTU-13119	ER4 HGM13119	34983	28	46.4285714286	49	0.205528399508	0.0101927479138
OTU-04748	Bacteroides sp.	147468	117	40.1709401709	197	0.197825969024	0.0098107621034
OTU-11969	Anaerostipes hadrus	13074	19	42.1052631579	18	0.195273061037	0.00968415601093
OTU-12170	Lachnospiraceae sp.	173394	146	41.7808219178	207	0.17733600932	0.00879460572537
OTU-12374	KLE1615 sp.	194778	138	42.7536231884	188	0.142351805645	0.0070596378578
