species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	100.0	56174	921.406593407	37.5588811813
OTU-01779	Bifidobacterium sp.	5097	6	100.0	30320	878.673337257	35.8169647443
OTU-10308	Weissella cibaria	376113	300	100.0	593812	232.643181703	9.48312903527
OTU-01746	Bifidobacterium HGM01746	7839	10	60.0	10689	199.988646511	8.15204695263
OTU-01788	Bifidobacterium sp.	13704	16	93.75	8822	95.2694833625	3.88342695984
OTU-20438	Escherichia coli	3069	5	100.0	549	26.2359074617	1.06944245688
OTU-05648	RC9 HGM05648	72111	51	100.0	6417	13.1241696829	0.534974606486
OTU-11998	Blautia HGM11998	5112	7	100.0	244	7.05125195618	0.287427001604
OTU-13067	Oscillospiraceae sp.	11973	14	85.7142857143	298	3.67827612127	0.149935909705
OTU-13279	Faecalibacterium HGM13279	4560	7	100.0	96	3.07697368421	0.125425289802
OTU-13300	Faecalibacterium sp.	33222	41	95.1219512195	676	3.00409367287	0.122454514786
OTU-12374	KLE1615 sp.	194778	138	100.0	3470	2.62363305918	0.106945970474
OTU-13278	Faecalibacterium HGM13278	41202	37	94.5945945946	648	2.32957138003	0.0949592669424
OTU-11969	Anaerostipes hadrus	13074	19	73.6842105263	203	2.28805262353	0.0932668566065
OTU-12115	Fusicatenibacter saccharivorans	52290	50	94.0	755	2.13880283037	0.0871830546371
OTU-12152	Lachnospiraceae sp.	15096	16	100.0	191	1.85181505034	0.0754847012635
OTU-13263	Ruminococcaceae sp.	287847	291	93.1271477663	3474	1.77929941948	0.0725287793255
OTU-12979	Oscillospiraceae HGM12979	375783	291	99.6563573883	4425	1.74035014889	0.0709411077842
OTU-13310	Faecalibacterium sp.	354	1	100.0	4	1.66384180791	0.0678224328053
OTU-12237	Coprococcus sp.	60378	51	74.5098039216	642	1.55548378548	0.0634054836339
OTU-11888	Lachnospiraceae HGM11888	568050	274	99.2700729927	5389	1.39782941642	0.0569790897296
