species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	100.0	56265	922.111888112	38.5494754256
OTU-01779	Bifidobacterium sp.	5097	6	100.0	29849	864.792426918	36.1531988032
OTU-10308	Weissella cibaria	376113	300	100.0	535497	210.032118007	8.7805266108
OTU-01746	Bifidobacterium HGM01746	7839	10	60.0	10772	201.071310116	8.40591432346
OTU-01788	Bifidobacterium sp.	13704	16	93.75	8795	94.8724460012	3.96620309622
OTU-20438	Escherichia coli	3069	5	100.0	402	19.2974910394	0.806743917079
OTU-05648	RC9 HGM05648	72111	51	100.0	6096	12.4956525357	0.522388721543
OTU-11998	Blautia HGM11998	5112	7	100.0	192	5.54753521127	0.231918246643
OTU-13067	Oscillospiraceae sp.	11973	14	85.7142857143	276	3.410172889	0.142564451968
OTU-13300	Faecalibacterium sp.	33222	41	90.243902439	750	3.32845704654	0.139148269071
OTU-13279	Faecalibacterium HGM13279	4560	7	85.7142857143	71	2.27543859649	0.0951261613572
OTU-13278	Faecalibacterium HGM13278	41202	37	97.2972972973	632	2.26957429251	0.0948810003901
OTU-13310	Faecalibacterium sp.	354	1	100.0	5	2.0988700565	0.0877446009618
OTU-12374	KLE1615 sp.	194778	138	99.2753623188	2576	1.95312098902	0.0816514682657
OTU-12152	Lachnospiraceae sp.	15096	16	68.75	185	1.82392686804	0.0762504256634
OTU-12979	Oscillospiraceae HGM12979	375783	291	99.3127147766	4509	1.77475564355	0.0741947912715
OTU-12115	Fusicatenibacter saccharivorans	52290	50	94.0	616	1.73157391471	0.0723895515644
OTU-13263	Ruminococcaceae sp.	287847	291	89.0034364261	2969	1.52590091264	0.0637912605748
OTU-11888	Lachnospiraceae HGM11888	568050	274	99.2700729927	4773	1.24039257108	0.0518554023143
OTU-16782	RF32 sp.	249285	261	85.0574712644	2091	1.23676113685	0.0517035878911
OTU-04065	Atopobiaceae HGM04065	60114	56	78.5714285714	471	1.15691852148	0.0483657164472
OTU-13072	Oscillospiraceae HGM13072	116748	111	76.5765765766	844	1.06624524617	0.0445750623594
OTU-12237	Coprococcus sp.	60378	51	58.8235294118	424	1.03670211004	0.0433399927166
OTU-12270	Dorea longicatena	38346	52	78.8461538462	264	1.00425076931	0.0419833437263
OTU-11969	Anaerostipes hadrus	13074	19	63.1578947368	87	0.975141502218	0.0407664122553
OTU-05292	UBA7173 HGM05292	251682	214	81.308411215	1633	0.956886070518	0.0400032322933
OTU-13309	Faecalibacterium sp.	52164	54	79.6296296296	312	0.882562686911	0.0368960958526
OTU-13313	Faecalibacterium sp.	4530	9	55.5555555556	26	0.846357615894	0.0353825197742
OTU-19512	Sutterella sp.	290154	274	81.7518248175	1564	0.797380011994	0.0333349798148
OTU-11449	Clostridia sp.	318351	298	75.5033557047	1687	0.779485536405	0.0325868898532
OTU-16785	RF32 HGM16785	508860	293	92.1501706485	2638	0.762246983453	0.0318662211557
OTU-12850	DTU089 sp.	174831	180	73.3333333333	892	0.748259747985	0.0312814758586
OTU-12731	DTU089 HGM12731	148416	159	79.8742138365	743	0.731511427339	0.0305813016352
OTU-11593	Christensenellales HGM11593	76590	84	72.619047619	377	0.729455542499	0.0304953540586
OTU-05233	Homeothermaceae sp.	305580	279	77.4193548387	1479	0.713099679298	0.0298115867689
OTU-12037	Blautia sp.	58497	47	78.7234042553	275	0.695710891157	0.0290846373935
OTU-05704	Parabacteroides distasonis	353586	283	73.851590106	1604	0.670066122527	0.0280125414897
OTU-19500	Sutterella HGM19500	31284	37	64.8648648649	142	0.666091292674	0.0278463711933
OTU-12036	Blautia sp.	78939	83	73.4939759036	320	0.600564993223	0.0251070024649
OTU-12642	Butyricicoccus HGM12642	38604	50	64.0	152	0.581157393016	0.0242956553639
OTU-23550	Opitutales HGM23550	34215	34	58.8235294118	130	0.556802571971	0.0232774865413
OTU-12111	Lachnospiraceae sp.	121890	117	67.5213675214	452	0.545376979244	0.0227998323523
OTU-13078	Oscillospiraceae sp.	15303	16	56.25	55	0.527870352219	0.0220679566472
OTU-10309	Weissella confusa	281895	289	66.0899653979	992	0.520864151546	0.0217750579609
OTU-23701	Akkermansia muciniphila	24186	31	48.3870967742	83	0.507855784338	0.0212312348756
OTU-13127	ER4 sp.	102381	109	60.5504587156	351	0.505621160176	0.0211378149877
OTU-13105	Oscillospiraceae sp.	17988	18	55.5555555556	60	0.491494329553	0.0205472338262
OTU-12876	DTU089 sp.	132603	155	55.4838709677	438	0.488985920379	0.0204423681813
OTU-12239	Coprococcus catus	118251	98	77.5510204082	375	0.468714852306	0.0195949232555
OTU-13413	Ruminococcus champanellensis	382221	296	69.2567567568	1203	0.465442767404	0.0194581316599
OTU-12282	Eubacterium sp.	40116	45	55.5555555556	126	0.459841459767	0.0192239654227
OTU-01784	Bifidobacterium sp.	63264	68	52.9411764706	193	0.453844208397	0.0189732465053
OTU-12471	Roseburia HGM12471	503556	244	88.9344262295	1547	0.453133315858	0.0189435271895
OTU-12490	Ruminococcus sp.	36915	38	57.8947368421	113	0.452011377489	0.0188966238406
OTU-13213	Ruminococcaceae HGM13213	228822	195	73.3333333333	693	0.447102988349	0.018691425503
OTU-13061	Oscillospiraceae HGM13061	16224	18	50.0	49	0.442554240631	0.0185012622044
OTU-13068	Oscillospiraceae sp.	278796	186	70.4301075269	791	0.420741330579	0.0175893595916
OTU-11980	Bacteroides pectinophilus	412965	299	70.5685618729	1159	0.414391050089	0.0173238820667
OTU-12663	Oscillospirales HGM12663	323046	173	85.549132948	905	0.412950477641	0.017263658017
OTU-13086	Oscillospiraceae HGM13086	53703	34	52.9411764706	147	0.408040519152	0.0170583940718
OTU-13194	Ruminococcaceae HGM13194	241824	160	71.25	640	0.388766210136	0.016252619294
OTU-13420	Subdoligranulum sp.	153624	163	48.4662576687	392	0.376991876269	0.0157603857593
OTU-12536	Ruminococcus lactaris	130053	126	53.1746031746	330	0.373801450178	0.0156270079623
OTU-12034	Blautia sp.	6411	6	50.0	16	0.37264077367	0.0155784851409
OTU-13169	Oscillibacter sp.	5862	7	57.1428571429	15	0.366257250085	0.0153116178672
OTU-12044	Blautia sp.	21759	12	58.3333333333	52	0.34951054736	0.014611511282
OTU-13128	ER4 sp.	16134	21	47.619047619	37	0.341638775257	0.0142824268302
OTU-12635	Butyricicoccaceae sp.	192471	198	46.9696969697	440	0.335370003793	0.0140203568421
OTU-23466	UBA1784 HGM23466	331947	271	63.0996309963	752	0.331697530027	0.0138668267348
OTU-12127	Lachnospiraceae sp.	199071	187	57.7540106952	445	0.329822023298	0.0137884199801
OTU-12887	DTU089 sp.	154938	167	49.7005988024	346	0.328131252501	0.0137177362289
OTU-01737	Gardnerella vaginalis	550764	300	75.0	1216	0.326112454699	0.0136333390996
OTU-04351	Eggerthellaceae sp.	15378	20	40.0	33	0.313759916764	0.0131169333752
OTU-11862	Lachnospiraceae HGM11862	257031	165	67.8787878788	542	0.312686018418	0.0130720383701
OTU-13180	Ruminiclostridium HGM13180	126627	108	55.5555555556	267	0.312650540564	0.0130705551958
OTU-13346	Ruminiclostridium HGM13346	99366	106	47.1698113208	200	0.295765151058	0.0123646507213
OTU-23480	UBA1784 HGM23480	448584	297	60.2693602694	848	0.278424999554	0.0116397346315
OTU-11539	Christensenellales HGM11539	207327	158	59.4936708861	380	0.269386042339	0.0112618552618
OTU-11565	Christensenellales sp.	289062	267	52.808988764	525	0.268274626205	0.0112153918017
OTU-23479	UBA1784 HGM23479	247635	167	59.880239521	433	0.258501423466	0.0108068168298
OTU-11569	PeH17 sp.	317958	290	46.8965517241	546	0.252828989992	0.0105696771316
OTU-12881	DTU089 sp.	335730	297	46.4646464646	568	0.24961129479	0.0104351593321
OTU-11840	Lachnospiraceae HGM11840	234798	219	47.0319634703	392	0.246897333027	0.0103217004301
OTU-04757	Bacteroides plebeius	32991	33	42.4242424242	54	0.242793489133	0.0101501366195
OTU-11532	UBA1381 sp.	261453	250	45.2	427	0.241412414468	0.0100923999126
OTU-05333	Odoribacter splanchnicus	155340	145	41.3793103448	238	0.226483841895	0.00946830141764
OTU-12989	Oscillospiraceae HGM12989	75879	73	41.095890411	113	0.220864797902	0.00923339370077
OTU-12585	UBA7182 HGM12585	246018	155	61.2903225806	357	0.215378549537	0.00900403758982
OTU-12288	Eubacterium sp.	357258	296	44.2567567568	503	0.206968073493	0.00865243227624
OTU-12345	Lachnospiraceae sp.	279498	208	48.0769230769	392	0.206398614659	0.0086286256866
OTU-11558	Christensenellales HGM11558	327006	290	43.4482758621	451	0.203143061595	0.008492525215
OTU-11342	Clostridia HGM11342	429204	282	44.3262411348	573	0.196326222496	0.00820754291
OTU-12348	Lachnospiraceae HGM12348	107232	92	41.3043478261	140	0.192423903312	0.00804440396841
OTU-11780	Lachnospirales HGM11780	618204	298	58.389261745	804	0.191642241073	0.00801172608007
OTU-12132	Lachnospiraceae sp.	284919	258	41.0852713178	370	0.190833184168	0.00797790294033
OTU-04058	Coriobacteriia HGM04058	235449	152	43.4210526316	303	0.189514502079	0.00792277459479
OTU-12559	Lachnospiraceae sp.	279789	243	42.3868312757	349	0.184653435267	0.00771955459729
OTU-08681	Desulfovibrio piger	76632	50	40.0	91	0.174783380311	0.00730693065665
OTU-12243	Coprococcus comes	16233	16	43.75	19	0.174397831578	0.00729081254602
OTU-14187	Veillonella parvula	3204	4	50.0	4	0.171348314607	0.00716332554466
OTU-11590	Christensenellales HGM11590	486372	299	49.8327759197	555	0.168056549308	0.0070257111975
OTU-12675	Oscillospirales HGM12675	238749	152	43.4210526316	238	0.147820514431	0.0061797308569
OTU-23467	UBA1784 sp.	398001	208	53.8461538462	393	0.145439333067	0.0060801840517
OTU-12586	UBA7182 HGM12586	283134	164	40.243902439	227	0.118127812273	0.00493840851093
