;t0;t4;t8;t24
Exp1C1;0;0;0.6802;8.5932
Exp1C2;0;0;0.6684;8.1845
Exp1A1;0;0;0.6845;8.945
Exp1A2;0;0;0.6442;10.2088
Exp1S1;0;0;0.8166;5.698
Exp1S2;0;0.31;0.8262;7.869
Exp1AS1;0;0.3155;0.8746;10.6099
Exp1AS2;0;0.4296;0.7937;5.9296
Exp2C1;0;0;0;8.2639
Exp2C2;0;0;0;14.6327
Exp2A1;0;0;0;7.9677
Exp2A2;0;0;0;7.9476
Exp2S1;0;0;0.8462;3.6005
Exp2S2;0;0;0.6637;3.215
Exp2AS1;0;0.3016;0.8344;4.5189
Exp2AS2;0;0;0.8957;2.9814
Exp3C1;0;0;1.1949;9.1614
Exp3C2;0;0;1.1176;8.9423
Exp3A1;0;0;2.095;8.2373
Exp3A2;0;0;1.2584;8.4527
Exp3S1;0;0.2868;2.0846;9.5668
Exp3S2;0;0;1.4176;7.5513
Exp3AS1;0;0.2934;1.2156;7.4002
Exp3AS2;0;0.3112;1.4195;10.1852
