;t0;t4;t8;t24
Exp1C1;3.3985;3.0427;3.9807;13.4147
Exp1C2;6.9482;4.1582;4.3667;11.4784
Exp1S1;5.5964;5.7629;4.4083;14.0576
Exp1S2;3.1932;3.5771;4.2789;15.7995
Exp1A1;5.2831;3.497;4.0846;8.8164
Exp1A2;3.4951;4.5865;4.6832;14.1942
Exp1AS1;3.7838;3.9424;4.6675;19.0102
Exp1AS2;3.5254;6.0669;4.2099;10.6769
Exp2C1;2.9803;3.2894;3.7698;8.4579
Exp2C2;2.8844;2.9383;3.4463;12.0603
Exp2S1;4.3792;2.7908;2.8756;7.2591
Exp2S2;4.0876;3.074;3.832;10.7731
Exp2A1;2.4009;3.0521;5.5394;4.9535
Exp2A2;2.7416;3.9408;4.0562;3.5894
Exp2AS1;2.4685;3.8495;4.2184;3.4535
Exp2AS2;2.7473;2.8914;5.3129;3.0505
Exp3C1;3.5158;6.3664;3.376;4.0031
Exp3C2;2.8713;3.2466;3.0016;3.3328
Exp3S1;3.5474;3.1528;4.469;3.2399
Exp3S2;2.9295;3.2549;3.0751;3.4469
Exp3A1;2.75;3.7205;5.9329;4.8269
Exp3A2;1.6938;3.2615;4.3037;4.1008
Exp3AS1;3.0682;3.2817;3.3035;3.6031
Exp3AS2;2.7174;3.1775;3.5423;4.7022
